registration number,registration date,application number,application date,authors,authors count,right holders,contact to third parties,program name,creation year,registration publish date,registration publish number,actual,publication URL
2019618140,20190626,2019616589,20190607,Петров Александр Васильевич (RU),1,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский национальный исследовательский технический университет» (ФГБОУ ВО «ИРНИТУ») (RU),"8(3952)40-50-18, patent@istu.edu",Автоматизированная система анализа технологий (АСАТ),2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618140
2019618141,20190626,2019616910,20190607,Жданов Александр Эдуардович (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программный модуль декодирования кода Нордстрома-Робинсона,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618141
2019618142,20190626,2019616942,20190607,Жданов Александр Эдуардович (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программный модуль кодирования мультикодом Уолша,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618142
2019618143,20190626,2019616908,20190607,Жданов Александр Эдуардович (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программный модуль интерактивного взаимодействия с пользователем,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618143
2019618144,20190626,2019616944,20190607,Малышева Ирина Николаевна (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Модуль определения режимов в системе радиосвязи,2017,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618144
2019618145,20190626,2019616906,20190607,"Алферьев Дмитрий Александрович (RU)
Холодев Александр Юрьевич (RU)
Мазилов Евгений Александрович (RU)",3,Федеральное государственное бюджетное учреждение науки «Вологодский научный центр  Российской академии наук» (RU),нет,Информационная аналитическая система «Научно-технологическое пространство РФ: оценки и прогнозы»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618145
2019618146,20190626,2019616947,20190607,Жданов Александр Эдуардович (RU),1,"Акционерное общество ""Концерн ""Созвездие"" (RU)",нет,Программный модуль формирования перемежителя турбокода,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618146
2019618147,20190626,2019616512,20190606,Камышев Михаил Анатольевич (RU),1,Камышев Михаил Анатольевич (RU),нет,Артемида,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618147
2019618148,20190626,2019616605,20190606,Гущин Валерий Игоревич (RU),1,Гущин Валерий Игоревич (RU),valery.gushin2016@yandex.ru,«Методика формирования полетного задания для БПЛА с аппаратурой аэрофотосъемки и воздушной лазерной локации»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618148
2019618149,20190626,2019616607,20190606,Гущин Валерий Игоревич (RU),1,Гущин Валерий Игоревич (RU),valery.gushin2016@yandex.ru,«Модель обоснования качественных характеристик топогеодезической информации»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618149
2019618150,20190626,2019616914,20190606,,2,Общество с ограниченной ответственностью «ХайТэк» (RU),нет,Программное обеспечение для системы хранения данных IVA ЯРъ,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618150
2019618151,20190626,2019617015,20190603,Лиске Ольга Эдмундовна (RU),1,Лиске Ольга Эдмундовна (RU),нет,Программа для проведения количественного контент-анализа,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618151
2019618152,20190626,2019616744,20190604,"Тютиков Владимир Валентинович (RU)
Лихарева Екатерина Глебовна (RU)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина» (ИГЭУ) (RU),truhina@pio.ispu.ru,«Программа синтеза полиномиальных регуляторов для систем заданной точности»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618152
2019618153,20190626,2019616746,20190604,"Белов Александр Аркадьевич (RU)
Сажина Юлия Сергеевна (RU)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина» (ИГЭУ) (RU),truhina@pio.ispu.ru,«Текстовый анализатор TERM.PRO2.»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618153
2019618154,20190626,2019616751,20190604,"Смирнов Владимир Владимирович (RU)
Яворовский Юрий Викторович (RU)
Сенников Владимир Васильевич (RU)
Романов Дмитрий Олегович (RU)",4,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина» (ИГЭУ) (RU),truhina@pio.ispu.ru,"«Моделирование совместных режимов работы термогидравлического распределителя, насосного узла смешения, устройства по устранению «перетопа» и потребителя тепловой энергии с нагрузками на отопление, вентиляцию и горячее водоснабжение»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618154
2019618155,20190626,2019616756,20190604,"Смирнов Владимир Владимирович (RU)
Яворовский Юрий Викторович (RU)
Сенников Владимир Васильевич (RU)
Романов Дмитрий Олегович (RU)",4,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина» (ИГЭУ) (RU),truhina@pio.ispu.ru,"«Моделирование совместных режимов работы термогидравлического распределителя, насосного узла смешения и потребителя тепловой энергии с нагрузками на отопление, вентиляцию и горячее водоснабжение»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618155
2019618156,20190626,2019616762,20190605,,2,Общество с ограниченной ответственностью «РекФэйсис» (RU),"+7(495) 268-08-93, in@recfaces.com",Id-Logon,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618156
2019618157,20190626,2019616765,20190605,,2,Общество с ограниченной ответственностью «РекФэйсис» (RU),"+7(495) 268-08-93, in@recfaces.com",Id-Target,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618157
2019618158,20190626,2019616769,20190605,,2,Общество с ограниченной ответственностью «РекФэйсис» (RU),"+7(495) 268-08-93, in@recfaces.com",Id-Time,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618158
2019618159,20190626,2019616772,20190605,,2,Общество с ограниченной ответственностью «РекФэйсис» (RU),"+7(495) 268-08-93, in@recfaces.com",Id-Guard,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618159
2019618160,20190626,2019616773,20190605,,2,Общество с ограниченной ответственностью «РекФэйсис» (RU),"+7(495) 268-08-93, in@recfaces.com",Id-Check,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618160
2019618161,20190626,2019616987,20190605,"Кутузов Владислав Игоревич (RU)
Дементьев Виталий Евгеньевич (RU)",2,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет» (RU),ois@ulstu.ru,«Модуль управления БПЛА»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618161
2019618162,20190626,2019616728,20190604,"Столярчук Максим Викторович (RU)
Иванов Сергей Александрович (RU)",2,"федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики» (RU)",нет,Расчет многоволновой дифракции электромагнитной волны на объемных голографических элементах,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618162
2019618163,20190626,2019616726,20190604,"Коновалов Дмитрий Евгеньевич (RU)
Вражевский Сергей Александрович (BY)
Фуртат Игорь Борисович (RU)
Кремлев Артем Сергеевич (RU)
Зименко Константин Александрович (RU)",5,"федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский национальный исследовательский университет информационных технологий, механики и оптики» (RU)","Тел.: 89134346871, e-mail: d.e.konovalov@mail.ru",Программа итеративного синтеза робастного управления многоканальными объектами при наличии временных ограничений,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618163
2019618164,20190626,2019616696,20190605,"Красса Александр Алексеевич (RU)
Шейнин Владимир Валерьевич (RU)
Лысенко Илья Андреевич (RU)
Гусаков Игорь Валерьевич (RU)
Кузьмина Ольга Александровна (RU)",5,Общество с ограниченной ответственностью «Гудфокаст» (RU),"Медведев С.В., Патентный поверенный № 1538, +7(495)9376116, medvedevs@gоrodissky.ru",GoodsForecast.Planning 2.0,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618164
2019618165,20190626,2019616717,20190605,"Сычев Олег Александрович (RU)
Мелихов Александр Владимирович (RU)",2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет» (ВолгГТУ) (RU),нет,ПРОГРАММНЫЙ МОДУЛЬ ДЛЯ ОБНАРУЖЕНИЯ ПОДОЗРИТЕЛЬНОЙ АКТИВНОСТИ ПОЛЬЗОВАТЕЛЕЙ НА БАЗЕ CMS MOODLE,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618165
2019618166,20190626,2019616777,20190604,"Сперанский Сергей Константинович (RU)
Родионов Игорь Владимирович (RU)
Сушков Владислав Сергеевич (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.» (СГТУ имени Гагарина Ю.А.) (RU),нет,ПРОГРАММА КОМПЛЕКСНОГО ОТОБРАЖЕНИЯ СТАТИСТИЧЕСКИХ ПАРАМЕТРОВ МЕХАНИЧЕСКИХ СВОЙСТВ ДЕФОРМИРОВАННЫХ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ В СИСТЕМЕ MATLAB,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618166
2019618167,20190626,2019616775,20190604,"Абушаева Зульфия Ибрагимовна (RU)
Ежов Роман Анатольевич (RU)
Ивженко Сергей Петрович (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.» (СГТУ имени Гагарина Ю.А.) (RU),нет,"Программа для генерации массива целых случайных чисел, которые не повторяются",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618167
2019618168,20190626,2019616778,20190604,"Васильев Дмитрий Анатольевич (RU)
Миргородская Екатерина Евгеньевна (RU)
Трегубова Елизавета Владимировна (RU)
Митяшин Никита Петрович (RU)",4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский государственный технический университет имени Гагарина Ю.А.» (СГТУ имени Гагарина Ю.А.) (RU),нет,Расчет параметров сетевого плана с нечеткими исходными данными на основе принципа обобщения Заде,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618168
2019618169,20190626,2019616693,20190605,"Рыжиков Сергей Владимирович (RU)
Семенов Павел Александрович (RU)",2,Федеральное государственное бюджетное учреждение «Институт физики высоких энергий имени А.А. Логунова Национального исследовательского центра «Курчатовский институт» (RU),нет,libSIS3316,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618169
2019618170,20190626,2019616712,20190605,"Гаврилов Дмирий Петрович (RU)
Барабанов Виктор Геннадьевич (RU)",2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет» (ВолгГТУ) (RU),"89034688609, gavrdp94@yandex.ru",Программа управления криогенной насосной установкой,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618170
2019618171,20190626,2019616708,20190605,"Васильев Петр Сергеевич (RU)
Рева  Леонид Саввич (RU)
Дрюков Виталий Александрович (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет» (ВолгГТУ) (RU),нет,Программа для расчёта основных технологических параметров комбинированного теплообменного аппарата для приготовления устойчивых водо-мазутных эмульсий,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618171
2019618172,20190626,2019616706,20190605,"Голованчиков Александр Борисович (RU)
Прохоренко Наталья Андреевна (RU)
Шибитова Наталия Валентиновна (RU)",3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет» (ВолгГТУ) (RU),нет,Программа для расчета оптимального расхода ионита в колонне непрерывного действия с учетом энерго- и ресурсосбережения,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618172
2019618173,20190626,2019616602,20190605,"Миков Алексей Викторович (RU)
Жуков Леонид Леонидович (RU)
Иванов Алексей Николаевич (RU)
Кобзев Александр Евгеньевич (RU)",4,Федеральное государственное бюджетное учреждение науки Институт физики прочности и материаловедения Сибирского отделения Российской академии наук (ИФПМ СО РАН) (RU),нет,Программа управления вакуумной системой для панели оператора Weintek,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618173
2019618174,20190626,2019616700,20190605,,6,Закрытое акционерное общество «Топ Системы» (RU),нет,T-FLEX DOCs версия 17 - корпоративная система документооборота и управления инженерными данными,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618174
2019618175,20190626,2019616785,20190605,Москальчук Андрей Игоревич (RU),1,Москальчук Андрей Игоревич (RU),,Вычисление поверхности Безье,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618175
2019618176,20190626,2019615443,20190515,"Захаров Евгений Николаевич (RU)
Гомзяков Николай Владимирович (RU)
Пипко Влас Станиславович (RU)
Баль Михаил Александрович (RU)",4,Захаров Евгений Николаевич (RU),mоtorkom.z@mail.ru,Модель функционирования нейроподобной системы управления летательного аппарата,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618176
2019618177,20190626,2019615529,20190515,"Шартаев Ислам Саидулович (RU)
Денисенко Владимир Анатольевич (RU)
Залиханов Эльдар Юсуфович (RU)
Сундуков Заурбек Амурович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),,Информация об абитуриентах с индивидуальными достижениями,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618177
2019618178,20190626,2019615532,20190515,"Денисенко Владимир Анатольевич (RU)
Залиханов Эльдар Юсуфович (RU)
Сундуков Заурбек Амурович (RU)
Шартаев Ислам Саидулович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),,Печать документов для архива: протокол экзамена,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618178
2019618179,20190626,2019615533,20190515,"Шартаев Ислам Саидулович (RU)
Денисенко Владимир Анатольевич (RU)
Залиханов Эльдар Юсуфович (RU)
Сундуков Заурбек Амурович (RU)
Завода Валентина Сергеевна (RU)",5,федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова» (КБГУ) (RU),,Сводная ведомость,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618179
2019618180,20190626,2019614428,20190422,"Mежуев Александр Михайлович (RU)
Пасечников Иван Иванович (RU)
Стуров Дмитрий Леонидович (RU)
Селянин Сергей Алексеевич (RU)
Косниковский Никита Евгеньевич (RU)",5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тамбовский государственный университет имени Г.Р.Державина» (RU),нет,Исследование спектральных и структурных характеристик типовых топологий сетевых информационных систем,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618180
2019618181,20190626,2019611900,20190226,,1,"Акционерное общество ""Центр компьютерных разработок"" (RU)",assist@kodeks.ru,"СЭД ""Кодекс: документооборот""",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618181
2019618182,20190626,2019614969,20190506,Панарин Михаил Владимирович (RU),1,Общество с ограниченной ответственностью «СервисНейро» (RU),urist@ssoft24.com,«Программа синхронизации данных нейронной сети интеллектуальных производственных технологий»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618182
2019618183,20190626,2019617197,20190617,Важенин Андрей Андреевич (RU),1,"федеральное государственное бюджетное учреждение ""Институт прикладной геофизики имени академика Е.К.Федорова"" (RU)",director@ipg.geospace.ru,"Специальное программное обеспечение КПА ГАЛС-ВЭ ""Тест ГАЛС""",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618183
2019618184,20190626,2019617179,20190617,"Тихонов Владимир Борисович (RU)
Игнатьев Сергей Владимирович (RU)
Рыхальский Илья Ярославович (RU)
Беляков Роман Александрович (RU)
Мирошниченко Александр Васильевич (RU)
Харебин Денис Александрович (RU)",6,"Тихонов Владимир Борисович (RU)
Игнатьев Сергей Владимирович (RU)
Рыхальский Илья Ярославович (RU)
Беляков Роман Александрович (RU)
Мирошниченко Александр Васильевич (RU)
Харебин Денис Александрович (RU)",,«Инструментальная среда обоснования параметров системы тренажной подготовки операторов в условиях непрерывного применения по назначению РЛС ДО»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618184
2019618185,20190626,2019616997,20190614,"Куценко Максим Игоревич (RU)
Овчарук Валерий Николаевич (RU)",2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный университет» (RU),нет,Модуль коррекции амплитудно-частотной характеристики сигналов акустической эмиссии,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618185
2019618186,20190626,2019616999,20190614,"Шпикерман Виталий Рудольфович (RU)
Войтович Марина Геннадьевна (RU)",2,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный учебно-научный центр Военно-Морского Флота «Военно-морская академия имени Адмирала Флота Советского Союза Н.Г.Кузнецова» (RU),нет,Программный модуль имитации контура противоминной обороны надводного корабля (ПМ КПМО НК),2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618186
2019618187,20190626,2019617003,20190614,"Апостолова Нина Анатольевна (RU)
Колобков Юрий Викторович (RU)
Маслов Максим Сергеевич (RU)
Пинчук Антон Владимирович (RU)
Фрейнкман Владимир Анатольевич (RU)",5,Общество с ограниченной ответственностью «Научно-Технический Центр ПРОТЕЙ» (RU),нет,Домашний регистр местоположения/регистр абонентских данных PROTEI HLR/HSS (Версия 2),2017,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618187
2019618188,20190626,2019617005,20190614,"Вайнерман Юрий Рафаилович (RU)
Баландин Вадим Николаевич (RU)
Вайнерман Татьяна Семёновна (RU)
Кельберг Юрий Александрович (RU)",4,Акционерное общество «Центральный ордена Трудового Красного Знамени научно-исследовательский и проектно-конструкторский институт морского флота» (АО «ЦНИИМФ») (RU),(812) 271-12-83 cniimf@cniimf.ru,"Программа: Chorda3 Автоматизированная система «Хранение, обработка, рассылка документов архива (АС ХОРДА)»",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618188
2019618189,20190626,2019617008,20190614,"Полякова Любовь Яковлевна (RU)
Махмуд Хассан Юнес (RU)
Неймарк Михаил Семёнович (RU)
Цесарский Лев Гершонович (RU)
Кострикова Елена Валентиновна (RU)",5,"Открытое акционерное общество «Программные, технические средства и системы» (ОАО «Программпром») (RU)",+7(495)764-34-36; email: progprom@yandex.ru,ПРОГРАММНЫЙ КОМПЛЕКС «ПРОГНОЗ И УПРАВЛЕНИЕ ЭКСПЛУАТАЦИОННЫМ УРОВНЕМ НАДЁЖНОСТИ И БЕЗОПАСНОСТИ ПОЛЁТА САМОЛЁТА НА ЗАДАННЫЙ ПЕРИОД (ПК ПУЭР)»,2017,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618189
2019618190,20190626,2019617010,20190614,Бульба Артём Владимирович (RU),1,Федеральное государственное бюджетное образовательное учреждение высшего образования «Петрозаводский государственный университет» (RU),,«Конволюционный метод томографии с ядром Рамачандрана-Лакшминараянана обратным проецированием в параллельных лучах»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618190
2019618191,20190626,2019616943,20190614,"Войт Николай Николаевич (RU)
Кириллов Сергей Юрьевич (RU)
Канев Дмитрий Сергеевич (RU)
Бочков Семен Игоревич (RU)",4,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет» (RU),ois@ulstu.ru,"Программа для трансляции диаграммных моделей потоков работ, представленных на языке PFDD(IDEF3), в ингибиторную сеть Петри",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618191
2019618192,20190626,2019616939,20190614,"Войт Николай Николаевич (RU)
Кириллов Сергей Юрьевич (RU)
Шиндин Станислав Андреевич (RU)
Ионова Ирина Сергеевна (RU)",4,федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет» (RU),ois@ulstu.ru,"Программа для трансляции диаграммных моделей потоков работ, представленных на языке ЕРС, в ингибиторную сеть Петри",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618192
2019618193,20190626,2019616909,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович.
kYchin-ea@so-ups.ru, 89610053387","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль просмотра и анализа данных гидрологии»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618193
2019618194,20190626,2019616913,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),"109074, Москва, Китайгородский пр-д, 7, стр. 3, Кычин Евгений Александрович
kуchin-ea@so-ups.ru, 89610053387","Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль просмотра и анализа метеоданных»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618194
2019618195,20190626,2019616918,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),,"Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль обмена данными с внешними комплексами»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618195
2019618196,20190626,2019616915,20190614,,2,Акционерное общество «Системный оператор Единой энергетической системы» (RU),,"Программа для электронных вычислительных машин «Автоматизированная система сбора, обработки, хранения и контроля метеоданных, модуль настройки НСИ»",2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618196
2019618197,20190626,2019617058,20190614,"Фролов Алексей Юрьевич (RU)
Малов Андрей Алексеевич (RU)
Рязанов Дмитрий Олегович (RU)
Сусляков Дмитрий Юрьевич (RU)
Глазков Дмитрий Михайлович (RU)",5,Акционерное общество «Научно-исследовательский институт приборостроения имени В.В. Тихомирова» (RU),,«Программа обработки сигнала в бортовой радиолокационной станции для оценки метеообстановки»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618197
2019618198,20190626,2019617063,20190614,Кружков Михаил Григорьевич (RU),1,Федеральное государственное учреждение «Федеральный исследовательский центр «Информатика и управление» Российской академии наук» (ФИЦ ИУ РАН) (RU),,«Поиск объектов аннотирования в надкорпусной базе данных глагольных форм»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618198
2019618199,20190626,2019617068,20190614,"Дурново Александр Адрианович (RU)
Косарик Валерий Валентинович (RU)
Кружков Михаил Григорьевич (RU)
Лощилова Елена Юрьевна (RU)",4,Федеральное государственное учреждение «Федеральный исследовательский центр «Информатика и управление» Российской академии наук» (ФИЦ ИУ РАН) (RU),,"«Программа анализа показателей логико-семантических отношений в русском, французском и итальянском языках»",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618199
2019618200,20190626,2019617073,20190614,,1,Акционерное общество «ЭКО-Энергия» (RU),,«Геоинформационная система территориальная схема обращения с отходами 1.0»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618200
2019618201,20190626,2019617077,20190614,,1,Акционерное общество «ЭКО-Энергия» (RU),,«Центральный монитор 1.0»,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618201
2019618202,20190626,2019616902,20190614,,1,"Акционерное общество ""ИскраУралТЕЛ"" (RU)","iut@iskrauraltel.ru, 620066,
Свердловская обл., г. Екатеринбург, ул. Комвузовская, 9А, +7 343 210‑69-51,",Пограничный шлюз BGW 3.0,2018,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618202
2019618203,20190626,2019617217,20190614,Семенов Виктор Викторович (RU),1,Федеральное государственное бюджетное учреждение науки Санкт-Петербургский институт информатики и автоматизации Российской академии наук (RU),v.semenov@iias.spb.su,Программа для определения состояния информационной безопасности отдельных компонентов вычислительных систем,2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618203
2019618204,20190626,2019616836,20190613,Истомин Владимир Андреевич (RU),1,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет"" (СПбГУ) (RU)",7 (812) 328-36-32; andrei.matveev@unipat.pu.ru,"«Программный комплекс для расчета физических свойств, макропараметров, коэффициентов переноса и потоковых членов в различных задачах газодинамики, с учетом влияния сильной неравновесности, химических реакций, ионизации и электронного возбуждения» (PAINeT)",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618204
2019618205,20190626,2019616889,20190613,"Архангельский Олег Константинович (RU)
Габов Александр Александрович (RU)",2,Общество с ограниченной ответственностью «Специальная интеграция» (RU),Тел.: +7(495)727-28-25; e-mail: info_si@specint.ru,"Программное обеспечение сервера филиала, входящее в состав универсального многофункционального комплекса аттестаций",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618205
2019618206,20190626,2019616893,20190613,Архангельский Олег Константинович (RU),1,Общество с ограниченной ответственностью «Специальная интеграция» (RU),Тел.: +7(495)727-28-25; e-mail: info_si@specint.ru,"Программное обеспечение АРМ экзаменатора учебного центра, входящее в состав универсального многофункционального комплекса аттестаций",2019,20190626,7,true,http://www1.fips.ru/fips_servl/fips_servlet?DB=EVM&DocNumber=2019618206
